trip_id,arrival_time,departure_time,stop_id,stop_sequence,drop_off_type,pickup_type
9004-0515,10:27:00,10:27:00,paris_nord,2,0,1
9004-0518,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0518,10:29:00,10:29:00,paris_nord,2,0,1
9004-0519,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0519,10:29:00,10:29:00,paris_nord,2,0,1
9004-0520,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0520,10:29:00,10:29:00,paris_nord,2,0,1
9004-0521,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0521,10:29:00,10:29:00,paris_nord,2,0,1
9004-0522,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0522,10:29:00,10:29:00,paris_nord,2,0,1
9004-0526,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0526,10:29:00,10:29:00,paris_nord,2,0,1
9004-0527,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0527,10:29:00,10:29:00,paris_nord,2,0,1
9004-0528,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0528,10:29:00,10:29:00,paris_nord,2,0,1
9004-0529,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0529,10:29:00,10:29:00,paris_nord,2,0,1
9004-0601,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0601,10:29:00,10:29:00,paris_nord,2,0,1
9004-0602,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0602,10:29:00,10:29:00,paris_nord,2,0,1
9004-0603,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0603,10:29:00,10:29:00,paris_nord,2,0,1
9004-0604,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0604,10:29:00,10:29:00,paris_nord,2,0,1
9004-0605,08:01:00,08:01:00,st_pancras_international,1,1,0
9004-0605,10:29:00,10:29:00,paris_nord,2,0,1
9006-0313,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0313,11:00:00,11:00:00,paris_nord,2,0,1
9006-0314,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0314,10:59:00,10:59:00,paris_nord,2,0,1
9006-0320,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0320,10:59:00,10:59:00,paris_nord,2,0,1
9006-0321,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0321,10:59:00,10:59:00,paris_nord,2,0,1
9006-0323,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0323,11:00:00,11:00:00,paris_nord,2,0,1
9006-0326,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0326,11:00:00,11:00:00,paris_nord,2,0,1
9006-0327,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0327,11:00:00,11:00:00,paris_nord,2,0,1
9006-0328,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0328,10:59:00,10:59:00,paris_nord,2,0,1
9006-0330,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0330,11:00:00,11:00:00,paris_nord,2,0,1
9006-0402,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0402,11:00:00,11:00:00,paris_nord,2,0,1
9006-0403,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0403,11:00:00,11:00:00,paris_nord,2,0,1
9006-0404,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0404,10:59:00,10:59:00,paris_nord,2,0,1
9006-0409,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0409,11:00:00,11:00:00,paris_nord,2,0,1
9006-0410,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0410,11:00:00,11:00:00,paris_nord,2,0,1
9006-0411,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0411,10:59:00,10:59:00,paris_nord,2,0,1
9006-0413,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0413,11:00:00,11:00:00,paris_nord,2,0,1
9006-0416,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0416,11:00:00,11:00:00,paris_nord,2,0,1
9006-0417,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0417,11:00:00,11:00:00,paris_nord,2,0,1
9006-0418,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0418,10:59:00,10:59:00,paris_nord,2,0,1
9006-0420,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0420,11:00:00,11:00:00,paris_nord,2,0,1
9006-0423,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0423,11:00:00,11:00:00,paris_nord,2,0,1
9006-0424,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0424,11:00:00,11:00:00,paris_nord,2,0,1
9006-0425,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0425,10:59:00,10:59:00,paris_nord,2,0,1
9006-0427,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0427,11:00:00,11:00:00,paris_nord,2,0,1
9006-0430,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0430,11:00:00,11:00:00,paris_nord,2,0,1
9006-0501,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0501,11:00:00,11:00:00,paris_nord,2,0,1
9006-0502,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0502,10:59:00,10:59:00,paris_nord,2,0,1
9006-0507,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0507,11:00:00,11:00:00,paris_nord,2,0,1
9006-0508,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0508,11:00:00,11:00:00,paris_nord,2,0,1
9006-0509,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0509,10:59:00,10:59:00,paris_nord,2,0,1
9006-0511,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0511,11:00:00,11:00:00,paris_nord,2,0,1
9006-0514,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0514,11:00:00,11:00:00,paris_nord,2,0,1
9006-0515,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0515,11:00:00,11:00:00,paris_nord,2,0,1
9006-0516,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0516,10:59:00,10:59:00,paris_nord,2,0,1
9006-0518,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0518,10:59:00,10:59:00,paris_nord,2,0,1
9006-0521,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0521,10:59:00,10:59:00,paris_nord,2,0,1
9006-0522,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0522,10:59:00,10:59:00,paris_nord,2,0,1
9006-0523,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0523,10:59:00,10:59:00,paris_nord,2,0,1
9006-0528,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0528,10:59:00,10:59:00,paris_nord,2,0,1
9006-0529,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0529,10:59:00,10:59:00,paris_nord,2,0,1
9006-0530,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0530,10:59:00,10:59:00,paris_nord,2,0,1
9006-0601,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0601,10:59:00,10:59:00,paris_nord,2,0,1
9006-0604,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0604,10:59:00,10:59:00,paris_nord,2,0,1
9006-0605,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0605,10:59:00,10:59:00,paris_nord,2,0,1
9006-0606,08:31:00,08:31:00,st_pancras_international,1,1,0
9006-0606,10:59:00,10:59:00,paris_nord,2,0,1
9007-0309,07:09:00,07:09:00,paris_nord,1,1,0
9007-0309,09:30:00,09:30:00,st_pancras_international_10,2,0,1
9007-0310,07:09:00,07:09:00,paris_nord,1,1,0
9007-0310,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0311,07:09:00,07:09:00,paris_nord,1,1,0
9007-0311,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0312,07:09:00,07:09:00,paris_nord,1,1,0
9007-0312,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0313,07:09:00,07:09:00,paris_nord,1,1,0
9007-0313,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0314,07:09:00,07:09:00,paris_nord,1,1,0
9007-0314,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0316,07:09:00,07:09:00,paris_nord,1,1,0
9007-0316,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0317,07:09:00,07:09:00,paris_nord,1,1,0
9007-0317,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0318,07:09:00,07:09:00,paris_nord,1,1,0
9007-0318,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0319,07:09:00,07:09:00,paris_nord,1,1,0
9007-0319,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0320,07:09:00,07:09:00,paris_nord,1,1,0
9007-0320,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0321,07:09:00,07:09:00,paris_nord,1,1,0
9007-0321,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0323,07:09:00,07:09:00,paris_nord,1,1,0
9007-0323,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0324,07:09:00,07:09:00,paris_nord,1,1,0
9007-0324,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0325,07:09:00,07:09:00,paris_nord,1,1,0
9007-0325,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0326,07:09:00,07:09:00,paris_nord,1,1,0
9007-0326,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0327,07:09:00,07:09:00,paris_nord,1,1,0
9007-0327,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0328,07:02:00,07:02:00,paris_nord,1,1,0
9007-0328,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0330,07:09:00,07:09:00,paris_nord,1,1,0
9007-0330,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0331,07:09:00,07:09:00,paris_nord,1,1,0
9007-0331,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0401,07:09:00,07:09:00,paris_nord,1,1,0
9007-0401,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0402,07:09:00,07:09:00,paris_nord,1,1,0
9007-0402,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0403,07:09:00,07:09:00,paris_nord,1,1,0
9007-0403,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0404,07:02:00,07:02:00,paris_nord,1,1,0
9007-0404,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0407,07:09:00,07:09:00,paris_nord,1,1,0
9007-0407,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0408,07:09:00,07:09:00,paris_nord,1,1,0
9007-0408,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0409,07:09:00,07:09:00,paris_nord,1,1,0
9007-0409,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0410,07:09:00,07:09:00,paris_nord,1,1,0
9007-0410,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0411,07:02:00,07:02:00,paris_nord,1,1,0
9007-0411,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0413,07:09:00,07:09:00,paris_nord,1,1,0
9007-0413,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0414,07:09:00,07:09:00,paris_nord,1,1,0
9007-0414,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0415,07:09:00,07:09:00,paris_nord,1,1,0
9007-0415,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0416,07:09:00,07:09:00,paris_nord,1,1,0
9007-0416,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0417,07:09:00,07:09:00,paris_nord,1,1,0
9007-0417,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0418,07:02:00,07:02:00,paris_nord,1,1,0
9007-0418,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0420,07:09:00,07:09:00,paris_nord,1,1,0
9007-0420,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0421,07:09:00,07:09:00,paris_nord,1,1,0
9007-0421,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0422,07:09:00,07:09:00,paris_nord,1,1,0
9007-0422,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0423,07:09:00,07:09:00,paris_nord,1,1,0
9007-0423,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0424,07:09:00,07:09:00,paris_nord,1,1,0
9007-0424,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0425,07:02:00,07:02:00,paris_nord,1,1,0
9007-0425,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0427,07:09:00,07:09:00,paris_nord,1,1,0
9007-0427,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0428,07:09:00,07:09:00,paris_nord,1,1,0
9007-0428,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0429,07:09:00,07:09:00,paris_nord,1,1,0
9007-0429,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0430,07:09:00,07:09:00,paris_nord,1,1,0
9007-0430,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0501,07:09:00,07:09:00,paris_nord,1,1,0
9007-0501,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0502,07:09:00,07:09:00,paris_nord,1,1,0
9007-0502,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0504,07:09:00,07:09:00,paris_nord,1,1,0
9007-0504,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0505,07:09:00,07:09:00,paris_nord,1,1,0
9007-0505,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0506,07:09:00,07:09:00,paris_nord,1,1,0
9007-0506,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0507,07:09:00,07:09:00,paris_nord,1,1,0
9007-0507,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0508,07:09:00,07:09:00,paris_nord,1,1,0
9007-0508,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0509,07:09:00,07:09:00,paris_nord,1,1,0
9007-0509,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0511,07:09:00,07:09:00,paris_nord,1,1,0
9007-0511,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0512,07:09:00,07:09:00,paris_nord,1,1,0
9007-0512,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0513,07:09:00,07:09:00,paris_nord,1,1,0
9007-0513,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0514,07:02:00,07:02:00,paris_nord,1,1,0
9007-0514,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0515,07:09:00,07:09:00,paris_nord,1,1,0
9007-0515,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0516,07:09:00,07:09:00,paris_nord,1,1,0
9007-0516,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0518,07:02:00,07:02:00,paris_nord,1,1,0
9007-0518,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0519,07:02:00,07:02:00,paris_nord,1,1,0
9007-0519,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0520,07:02:00,07:02:00,paris_nord,1,1,0
9007-0520,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0521,07:02:00,07:02:00,paris_nord,1,1,0
9007-0521,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0522,07:02:00,07:02:00,paris_nord,1,1,0
9007-0522,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0523,07:02:00,07:02:00,paris_nord,1,1,0
9007-0523,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0526,07:02:00,07:02:00,paris_nord,1,1,0
9007-0526,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0527,07:02:00,07:02:00,paris_nord,1,1,0
9007-0527,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0528,07:02:00,07:02:00,paris_nord,1,1,0
9007-0528,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0529,07:02:00,07:02:00,paris_nord,1,1,0
9007-0529,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0530,07:02:00,07:02:00,paris_nord,1,1,0
9007-0530,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0601,07:02:00,07:02:00,paris_nord,1,1,0
9007-0601,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0602,07:02:00,07:02:00,paris_nord,1,1,0
9007-0602,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0603,07:02:00,07:02:00,paris_nord,1,1,0
9007-0603,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0604,07:02:00,07:02:00,paris_nord,1,1,0
9007-0604,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0605,07:02:00,07:02:00,paris_nord,1,1,0
9007-0605,09:30:00,09:30:00,st_pancras_international,2,0,1
9007-0606,07:02:00,07:02:00,paris_nord,1,1,0
9007-0606,09:30:00,09:30:00,st_pancras_international,2,0,1
9008-0309,09:01:00,09:01:00,st_pancras_international_10,1,1,0
9008-0309,11:34:00,11:34:00,paris_nord,2,0,1
9008-0310,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0310,11:34:00,11:34:00,paris_nord,2,0,1
9008-0311,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0311,11:34:00,11:34:00,paris_nord,2,0,1
9008-0312,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0312,11:34:00,11:34:00,paris_nord,2,0,1
9008-0313,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0313,11:34:00,11:34:00,paris_nord,2,0,1
9008-0314,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0314,11:34:00,11:34:00,paris_nord,2,0,1
9008-0315,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0315,11:34:00,11:34:00,paris_nord,2,0,1
9008-0316,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0316,11:34:00,11:34:00,paris_nord,2,0,1
9008-0317,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0317,11:34:00,11:34:00,paris_nord,2,0,1
9008-0318,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0318,11:34:00,11:34:00,paris_nord,2,0,1
9008-0319,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0319,11:34:00,11:34:00,paris_nord,2,0,1
9008-0320,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0320,11:34:00,11:34:00,paris_nord,2,0,1
9008-0321,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0321,11:34:00,11:34:00,paris_nord,2,0,1
9008-0322,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0322,11:34:00,11:34:00,paris_nord,2,0,1
9008-0323,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0323,11:34:00,11:34:00,paris_nord,2,0,1
9008-0324,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0324,11:34:00,11:34:00,paris_nord,2,0,1
9008-0325,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0325,11:34:00,11:34:00,paris_nord,2,0,1
9008-0326,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0326,11:34:00,11:34:00,paris_nord,2,0,1
9008-0327,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0327,11:34:00,11:34:00,paris_nord,2,0,1
9008-0328,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0328,11:34:00,11:34:00,paris_nord,2,0,1
9008-0329,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0329,11:34:00,11:34:00,paris_nord,2,0,1
9008-0330,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0330,11:34:00,11:34:00,paris_nord,2,0,1
9008-0331,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0331,11:34:00,11:34:00,paris_nord,2,0,1
9008-0401,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0401,11:34:00,11:34:00,paris_nord,2,0,1
9008-0402,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0402,11:34:00,11:34:00,paris_nord,2,0,1
9008-0403,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0403,11:34:00,11:34:00,paris_nord,2,0,1
9008-0404,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0404,11:34:00,11:34:00,paris_nord,2,0,1
9008-0405,09:01:00,09:01:00,st_pancras_international,1,1,0
9008-0405,11:34:00,11:34:00,paris_nord,2,0,1
